No teiku master tabulas,Garais nosaukums,Kods,Veids,,,,,,
"1889. g. ""Balss"", 21. nr.",Balss,Balss,periodika,,,,,,
Balsī 1880.g.,Balss,Balss,periodika,,,,,,
Balss 1879. g. nr. 84.,Balss,Balss,periodika,,,,,,
"Balss 1881. g., 7. n-rā.",Balss,Balss,periodika,,,,,,
Balss 1887. g. 6. n-rā.,Balss,Balss,periodika,,,,,,
Balss 1888.,Balss,Balss,periodika,,,,,,
Balss 1889. g. nr. 32.,Balss,Balss,periodika,,,,,,
"Balss 1891. g., Nr. 2.",Balss,Balss,periodika,,,,,,
Balss 1892. g. nr. 39.,Balss,Balss,periodika,,,,,,
"Balss nr. 40, 1888.",Balss,Balss,periodika,,,,,,
"Balss, 1880., 38.",Balss,Balss,periodika,,,,,,
"Balss, 1887. g. 18. n-rs.",Balss,Balss,periodika,,,,,,
"Balss, 1887. g. nr. 6.",Balss,Balss,periodika,,,,,,
"Balss, 1887. g., nr. 16.",Balss,Balss,periodika,,,,,,
"Balss, 1889. g. nr. 32.",Balss,Balss,periodika,,,,,,
"Balss, 1889. g., nr. 18.",Balss,Balss,periodika,,,,,,
"Balss, 1890. g. nr. 31.",Balss,Balss,periodika,,,,,,
Balss. 1888. g. nr. 19.,Balss,Balss,periodika,,,,,,
Balss. 1889. g.,Balss,Balss,periodika,,,,,,
"""Balt. Vēstn."" p. 1890. g. nr. 199.",Baltijas Vēstnesis,BV,periodika,,,,,,
"""Balt. Vēstn."" piel. 1890.",Baltijas Vēstnesis,BV,periodika,,,,,,
"""Balt. Vēstn."" piel. 1894.",Baltijas Vēstnesis,BV,periodika,,,,,,
"""Balt. Vēstn."" piel. 1894. g. nr. 29.",Baltijas Vēstnesis,BV,periodika,,,,,,
"""Balt. Vēstn."" piel. 1894. g. nr. 29.",Baltijas Vēstnesis,BV,periodika,,,,,,
"""Balt. Vēstn."" piel. 1894. g. nr. 68.",Baltijas Vēstnesis,BV,periodika,,,,,,
"""Balt. Vēstn."" piel. 1894. nr. 74.",Baltijas Vēstnesis,BV,periodika,,,,,,
"""Baltijas Vēstn."" piel. 1890. nr. 13.",Baltijas Vēstnesis,BV,periodika,,,,,,
"""Baltijas Vēstneša"" feļet., 1890., 164. n-rā",Baltijas Vēstnesis,BV,periodika,,,,,,
"""Baltijas Vēstneša"" feļetons 1894. nr. 68.",Baltijas Vēstnesis,BV,periodika,,,,,,
"""Baltijas Vēstneša"" piel. 1890. g. nr. 164.",Baltijas Vēstnesis,BV,periodika,,,,,,
"""Baltijas Vēstneša"" piel. 1893. g. nr. 46.",Baltijas Vēstnesis,BV,periodika,,,,,,
"""Baltijas Vēstneša"" piel. 1893. g. nr. 68.",Baltijas Vēstnesis,BV,periodika,,,,,,
